sjis_hex,glyph_index,sjis_char,kor_char
0x89ca,1103,果,꽐
0x89cb,1104,架,꽜
0x89cc,1105,歌,꽝
0x89cd,1106,河,꽤
0x89ce,1107,火,꽥
0x89cf,1108,珂,꽹
0x89d0,1109,禍,꾀
0x89d1,1110,禾,꾄
0x89d2,1111,稼,꾈
0x89d3,1112,箇,꾐
0x89d4,1113,花,꾑
0x89d5,1114,苛,꾕
0x89d6,1115,茄,꾜
0x89d7,1116,荷,꾸
0x89d8,1117,華,꾹
0x89d9,1118,菓,꾼
0x89da,1119,蝦,꿀
0x89db,1120,課,꿇
0x89dc,1121,嘩,꿈
0x89dd,1122,貨,꿉
0x89de,1123,迦,꿋
0x89df,1124,過,꿍
0x89e0,1125,霞,꿎
0x89e1,1126,蚊,꿔
0x89e2,1127,俄,꿜
0x89e3,1128,峨,꿨
0x89e4,1129,我,꿩
0x89e5,1130,牙,꿰
0x89e6,1131,画,꿱
0x89e7,1132,臥,꿴
0x89e8,1133,芽,꿸
0x89e9,1134,蛾,뀀
0x89ea,1135,賀,뀁
0x89eb,1136,雅,뀄
0x89ec,1137,餓,뀌
0x89ed,1138,駕,뀐
0x89ee,1139,介,뀔
0x89ef,1140,会,뀜
0x89f0,1141,解,뀝
0x89f1,1142,回,뀨
0x89f2,1143,塊,끄
0x89f3,1144,壊,끅
0x89f4,1145,廻,끈
0x89f5,1146,快,끊
0x89f6,1147,怪,끌
0x89f7,1148,悔,끎
0x89f8,1149,恢,끓
0x89f9,1150,懐,끔
0x89fa,1151,戒,끕
0x89fb,1152,拐,끗
0x89fc,1153,改,끙
0x8a40,1154,魁,끝
0x8a41,1155,晦,끼
0x8a42,1156,械,끽
0x8a43,1157,海,낀
0x8a44,1158,灰,낄
0x8a45,1159,界,낌
0x8a46,1160,皆,낍
0x8a47,1161,絵,낏
0x8a48,1162,芥,낑
0x8a49,1163,蟹,나
0x8a4a,1164,開,낙
0x8a4b,1165,階,낚
0x8a4c,1166,貝,난
0x8a4d,1167,凱,낟
0x8a4e,1168,劾,날
0x8a4f,1169,外,낡
0x8a50,1170,咳,낢
0x8a51,1171,害,남
0x8a52,1172,崖,납
0x8a53,1173,慨,낫
0x8a54,1174,概,났
0x8a55,1175,涯,낭
0x8a56,1176,碍,낮
0x8a57,1177,蓋,낯
0x8a58,1178,街,낱
0x8a59,1179,該,낳
0x8a5a,1180,鎧,내
0x8a5b,1181,骸,낵
0x8a5c,1182,浬,낸
0x8a5d,1183,馨,낼
0x8a5e,1184,蛙,냄
0x8a5f,1185,垣,냅
0x8a60,1186,柿,냇
0x8a61,1187,蛎,냈
0x8a62,1188,鈎,냉
0x8a63,1189,劃,냐
0x8a64,1190,嚇,냑
0x8a65,1191,各,냔
0x8a66,1192,廓,냘
0x8a67,1193,拡,냠
0x8a68,1194,撹,냥
0x8a69,1195,格,너
0x8a6a,1196,核,넉
0x8a6b,1197,殻,넋
0x8a6c,1198,獲,넌
0x8a6d,1199,確,널
0x8a6e,1200,穫,넒
0x8a6f,1201,覚,넓
0x8a70,1202,角,넘
0x8a71,1203,赫,넙
0x8a72,1204,較,넛
0x8a73,1205,郭,넜
0x8a74,1206,閣,넝
0x8a75,1207,隔,넣
0x8a76,1208,革,네
0x8a77,1209,学,넥
0x8a78,1210,岳,넨
0x8a79,1211,楽,넬
0x8a7a,1212,額,넴
0x8a7b,1213,顎,넵
0x8a7c,1214,掛,넷
0x8a7d,1215,笠,넸
0x8a7e,1216,樫,넹
0x8a80,1217,橿,녀
0x8a81,1218,梶,녁
0x8a82,1219,鰍,년
0x8a83,1220,潟,녈
0x8a84,1221,割,념
0x8a85,1222,喝,녑
0x8a86,1223,恰,녔
0x8a87,1224,括,녕
0x8a88,1225,活,녘
0x8a89,1226,渇,녜
